香港频道,#genre#
香港有線新聞[1280*720][1280*720][1280*720][1280*720],http://61.10.2.140:80/live_freedirect/freehd209_h.live/chunklist_w135209556.m3u8
凤凰资讯[960*540][960*540][960*540][960*540],http://playtv-live.ifeng.com/live/06OLEEWQKN4.m3u8
凤凰资讯[960*540][960*540][960*540][960*540],http://playtv-live.ifeng.com/live/06OLEEWQKN4_tv2.m3u8
凤凰资讯[960*540][960*540][960*540][960*540],http://playtv-live.ifeng.com:80/live/06OLEEWQKN4.m3u8
凤凰资讯[960*540][960*540][960*540][960*540],http://playtv-live.ifeng.com:80/live/06OLEEWQKN4_tv1.m3u8
凤凰资讯[960*540][960*540][960*540][960*540],http://playtv-live.ifeng.com:80/live/06OLEEWQKN4_tv2.m3u8
凤凰资讯[960*540][960*540][960*540][960*540],https://playtv-live.ifeng.com/live/06OLEEWQKN4.m3u8
凤凰资讯[960*540][960*540][960*540][960*540],https://playtv-live.ifeng.com/live/06OLEEWQKN4_tv1.m3u8
凤凰资讯[960*540][960*540][960*540][960*540],https://playtv-live.ifeng.com/live/06OLEEWQKN4_tv2.m3u8
凤凰资讯[960*540][960*540][960*540][960*540],http://playtv-live.ifeng.com/live/06OLEEWQKN4.m3u8?
凤凰资讯[1920*1080][1920*1080][1920*1080][1920*1080],http://play-live.ifeng.com/live/06OLEEWQKN4.m3u8
凤凰资讯[1920*1080][1920*1080][1920*1080][1920*1080],http://play-live.ifeng.com/live/06OLEEWQKN4.m3u8
凤凰资讯[1920*1080][1920*1080][1920*1080][1920*1080],http://play-live.ifeng.com/live/06OLEEWQKN4.m3u8
凤凰中文[960*540][960*540][960*540][960*540],http://playtv-live.ifeng.com/live/06OLEGEGM4G.m3u8
凤凰中文[960*540][960*540][960*540][960*540],http://playtv-live.ifeng.com/live/06OLEGEGM4G_tv1.m3u8
凤凰中文[960*540][960*540][960*540][960*540],http://playtv-live.ifeng.com/live/06OLEGEGM4G_tv2.m3u8
凤凰中文[960*540][960*540][960*540][960*540],http://playtv-live.ifeng.com:80/live/06OLEGEGM4G.m3u8
凤凰中文[960*540][960*540][960*540][960*540],http://playtv-live.ifeng.com:80/live/06OLEGEGM4G_tv1.m3u8
凤凰中文[960*540][960*540][960*540][960*540],http://playtv-live.ifeng.com:80/live/06OLEGEGM4G_tv2.m3u8
凤凰中文[960*540][960*540][960*540][960*540],https://playtv-live.ifeng.com/live/06OLEGEGM4G_tv1.m3u8
凤凰中文[960*540][960*540][960*540][960*540],https://playtv-live.ifeng.com/live/06OLEGEGM4G_tv2.m3u8
凤凰中文[1920*1080][1920*1080][1920*1080][1920*1080],http://play-live.ifeng.com/live/06OLEGEGM4G.m3u8
翡翠台[1920*1080][1920*1080][1920*1080][1920*1080],http://23.237.10.66:16106
